feature,importance
xom_momentum_10d,0.13568559405339967
nvda_momentum_10d,0.1275488408574951
spy_vol_21d,0.12210431780143756
spy_vol_10d,0.10847218906992431
spy_return_21d,0.10795255159915979
drawdown,0.10689499703006126
spy_return_5d,0.08750021492067211
cross_asset_volatility,0.08101785308908666
spy_return_1d,0.07490849312747824
market_breadth,0.030129274522498136
regime_id,0.017785673928787136
