model,cv_roc_auc,test_roc_auc,accuracy,precision,recall,f1
Random Forest,0.5339757876357217,0.5488863287250384,0.5269461077844312,0.6566265060240963,0.5190476190476191,0.5797872340425532
Logistic Regression,0.5463003226751162,0.5087557603686637,0.5778443113772455,0.6254545454545455,0.819047619047619,0.709278350515464
