component,explained_variance_ratio,cumulative_variance
PC1,0.4259365537108125,0.4259365537108125
PC2,0.17014373361056814,0.5960802873213806
PC3,0.13344581869653296,0.7295261060179136
PC4,0.08769343560536104,0.8172195416232746
