,PC1,PC2,PC3,PC4
AAPL,0.457647136059369,-0.05899112187548039,-0.046140030212679047,-0.21144095043946212
MSFT,0.47618735044155425,-0.22290989865326158,0.08090428468565523,-0.15886042076334733
NVDA,0.4483016671579293,-0.20935012701156563,-0.03202888908470581,0.001892475014837082
AMZN,0.46470156522471523,-0.1711569517400567,-0.019514039968183197,-0.005228183164754027
JPM,0.33211118246367693,0.4628910977128762,-0.12880973860773964,0.8007776496476484
UNH,0.12553406390856078,0.4143348522130114,0.8864768891081879,-0.1343442262587918
XOM,0.14431263949637593,0.6984035428843047,-0.43299621609948247,-0.5203190949090546
