portfolio,annual_return,annual_volatility,sharpe,AAPL,MSFT,NVDA,AMZN,JPM,UNH,XOM
Max Sharpe,0.429542726927358,0.2553484470570513,1.5255339572921873,1.465345257596963e-16,0.0,0.35832372880701124,0.0,0.08617485844379245,0.0,0.5555014127491963
Min Volatility,0.2066028272082959,0.16506748894286014,1.0093012759524513,0.10117717802074637,0.2298584287197496,2.105515940669113e-17,0.0,0.2139573082421678,0.19863510376025562,0.2563719812570807
Equal Weight,0.2577221160126276,0.20221442255793873,1.0766893540951343,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
