date,asset,rolling_beta
2021-04-06,AAPL,1.429494045930737
2021-04-07,AAPL,1.4239989656346275
2021-04-08,AAPL,1.4624602896683347
2021-04-09,AAPL,1.441118480236846
2021-04-12,AAPL,1.4416422947303829
2021-04-13,AAPL,1.4302923755241803
2021-04-14,AAPL,1.4402157878233248
2021-04-15,AAPL,1.4449083596858052
2021-04-16,AAPL,1.4355360806388824
2021-04-19,AAPL,1.416930840201253
2021-04-20,AAPL,1.4238055862271315
2021-04-21,AAPL,1.3786188994973745
2021-04-22,AAPL,1.3762268246249594
2021-04-23,AAPL,1.404334340284227
2021-04-26,AAPL,1.3939210993999973
2021-04-27,AAPL,1.3971578649469232
2021-04-28,AAPL,1.5485409561728165
2021-04-29,AAPL,1.6020616791474367
2021-04-30,AAPL,1.5942275912827153
2021-05-03,AAPL,1.618069883449292
2021-05-04,AAPL,1.697064217104925
2021-05-05,AAPL,1.6950003243643255
2021-05-06,AAPL,1.6765382628977534
2021-05-07,AAPL,1.6752153550580338
2021-05-10,AAPL,1.7016715300368732
2021-05-11,AAPL,1.6770595008811158
2021-05-12,AAPL,1.6179419402286104
2021-05-13,AAPL,1.6203589806231264
2021-05-14,AAPL,1.6161779470054696
2021-05-17,AAPL,1.6136815190085254
2021-05-18,AAPL,1.6032324820673478
2021-05-19,AAPL,1.6001982656374374
2021-05-20,AAPL,1.6131898404298168
2021-05-21,AAPL,1.5920955978645905
2021-05-24,AAPL,1.5902534170701357
2021-05-25,AAPL,1.6239875465751366
2021-05-26,AAPL,1.6548638034541359
2021-05-27,AAPL,1.6753341549303962
2021-05-28,AAPL,1.5914516778191101
2021-06-01,AAPL,1.5771132084218928
2021-06-02,AAPL,1.57160955388021
2021-06-03,AAPL,1.599161620577071
2021-06-04,AAPL,1.6915041478854258
2021-06-07,AAPL,1.629114850486255
2021-06-08,AAPL,1.5542346035778063
2021-06-09,AAPL,1.574126513967037
2021-06-10,AAPL,1.5548323866255047
2021-06-11,AAPL,1.5561285174875252
2021-06-14,AAPL,1.5393837507528565
2021-06-15,AAPL,1.5537048470430435
2021-06-16,AAPL,1.5333850292548536
2021-06-17,AAPL,1.4696499485425463
2021-06-18,AAPL,1.4230469640928718
2021-06-21,AAPL,1.364384385377609
2021-06-22,AAPL,1.3832517788003662
2021-06-23,AAPL,1.3580580445008115
2021-06-24,AAPL,1.3485691131062754
2021-06-25,AAPL,1.4231030546455605
2021-06-28,AAPL,1.426840775344644
2021-06-29,AAPL,1.412831706161943
2021-06-30,AAPL,1.4006999793483526
2021-07-01,AAPL,1.4193873212184458
2021-07-02,AAPL,1.4249202409453756
2021-07-06,AAPL,1.4091340705738298
2021-07-07,AAPL,1.419661369308915
2021-07-08,AAPL,1.3978333690932752
2021-07-09,AAPL,1.3698537801585242
2021-07-12,AAPL,1.3587499597539663
2021-07-13,AAPL,1.327153875102233
2021-07-14,AAPL,1.310650476553257
2021-07-15,AAPL,1.2982365416312178
2021-07-16,AAPL,1.3183099310888688
2021-07-19,AAPL,1.376105792030536
2021-07-20,AAPL,1.3926858511452624
2021-07-21,AAPL,1.3833205202463137
2021-07-22,AAPL,1.387338177182727
2021-07-23,AAPL,1.3711924320094244
2021-07-26,AAPL,1.3708735422153897
2021-07-27,AAPL,1.3855204592061028
2021-07-28,AAPL,1.3881731352637547
2021-07-29,AAPL,1.403896893990139
2021-07-30,AAPL,1.374475764494327
2021-08-02,AAPL,1.3724749523549902
2021-08-03,AAPL,1.311863450212604
2021-08-04,AAPL,1.3070734257969678
2021-08-05,AAPL,1.2893916966139667
2021-08-06,AAPL,1.2976222517858669
2021-08-09,AAPL,1.2476334145397305
2021-08-10,AAPL,1.2563930487858566
2021-08-11,AAPL,1.2627775715975553
2021-08-12,AAPL,1.265746756629307
2021-08-13,AAPL,1.2701164920916501
2021-08-16,AAPL,1.262243422060041
2021-08-17,AAPL,1.2508977887763884
2021-08-18,AAPL,1.3256475669768155
2021-08-19,AAPL,1.298989390399835
2021-08-20,AAPL,1.2814483220328847
2021-08-23,AAPL,1.2774984591868837
2021-08-24,AAPL,1.2766531185336008
2021-08-25,AAPL,1.2727505870186213
2021-08-26,AAPL,1.2663186282667322
2021-08-27,AAPL,1.2494252426630166
2021-08-30,AAPL,1.2801009618674941
2021-08-31,AAPL,1.2898424814215754
2021-09-01,AAPL,1.2685804512951426
2021-09-02,AAPL,1.2491489682185057
2021-09-03,AAPL,1.246789046682556
2021-09-07,AAPL,1.2089843344973008
2021-09-08,AAPL,1.2241618160970222
2021-09-09,AAPL,1.2586992409770175
2021-09-10,AAPL,1.3550478206964323
2021-09-13,AAPL,1.3417446813728258
2021-09-14,AAPL,1.3452512453407597
2021-09-15,AAPL,1.3549060696901447
2021-09-16,AAPL,1.3623373806161767
2021-09-17,AAPL,1.4412033447473644
2021-09-20,AAPL,1.4652235510508393
2021-09-21,AAPL,1.453309372914132
2021-09-22,AAPL,1.4610193401982938
2021-09-23,AAPL,1.43139947566244
2021-09-24,AAPL,1.4396373936342783
2021-09-27,AAPL,1.4445610610324877
2021-09-28,AAPL,1.4091789523307428
2021-09-29,AAPL,1.410397310328328
2021-09-30,AAPL,1.3904314982471158
2021-10-01,AAPL,1.3361613876009262
2021-10-04,AAPL,1.3750477026951182
2021-10-05,AAPL,1.3611939517081901
2021-10-06,AAPL,1.367892639573911
2021-10-07,AAPL,1.3655654168376852
2021-10-08,AAPL,1.374770979983338
2021-10-11,AAPL,1.367143407447009
2021-10-12,AAPL,1.3610144043284278
2021-10-13,AAPL,1.3530325425240297
2021-10-14,AAPL,1.3390990844659367
2021-10-15,AAPL,1.3058604339599176
2021-10-18,AAPL,1.2775914483356083
2021-10-19,AAPL,1.3257209661886507
2021-10-20,AAPL,1.3210037412543918
2021-10-21,AAPL,1.3234040901455595
2021-10-22,AAPL,1.3249684444131489
2021-10-25,AAPL,1.3004531174501255
2021-10-26,AAPL,1.2967797666639607
2021-10-27,AAPL,1.2926404830412748
