date,strategy,buy_hold,strategy_growth,buy_hold_growth
2025-01-29,0.005367078407106485,0.005367078407106485,1.0053670784071065,1.0053670784071065
2025-01-30,-0.005321847370101107,-0.005321847370101107,1.0000166682648994,1.0000166682648994
2025-01-31,-0.006729648336339378,-0.006729648336339378,0.9932869077569989,0.9932869077569989
2025-02-03,0.006708326846265988,0.006708326846265988,0.9999502009863497,0.9999502009863497
2025-02-04,0.004054500120593607,0.004054500120593607,1.0040044991968364,1.0040044991968364
2025-02-05,0.003475716510411786,0.003475716510411786,1.0074941342112227,1.0074941342112227
2025-02-06,-0.009153582388062631,-0.009153582388062631,0.9982719536482304,0.9982719536482304
2025-02-07,0.006791192125803924,0.006791192125803924,1.0050514102792572,1.0050514102792572
2025-02-10,0.000760531944440368,0.000760531944440368,1.0058157839825794,1.0058157839825794
2025-02-11,-0.0032213905817672916,-0.0032213905817672916,1.002575658489065,1.002575658489065
2025-02-12,0.010557361833585244,0.010557361833585244,1.013160212481279,1.013160212481279
2025-02-13,-4.92537148217842e-05,-4.92537148217842e-05,1.0131103105771047,1.0131103105771047
2025-02-14,0.0029360722320486143,0.0029360722320486143,1.0160848756279923,1.0160848756279923
2025-02-18,0.002354943061535275,0.002354943061535275,1.0184776976557834,1.0184776976557834
2025-02-19,-0.0041603636211549055,-0.0041603636211549055,1.0142404600934987,1.0142404600934987
2025-02-20,-0.017104081046337205,-0.017104081046337205,0.9968928090635851,0.9968928090635851
2025-02-21,-0.0045505827357145145,-0.0045505827357145145,0.9923563658573025,0.9923563658573025
2025-02-24,-0.004973053296503771,-0.004973053296503771,0.9874213247607693,0.9874213247607693
2025-02-25,0.0005046465936875411,0.0005046465936875411,0.9879196235688442,0.9879196235688442
2025-02-26,-0.01596182659286549,-0.01596182659286549,0.9721506218497494,0.9721506218497494
2025-02-27,0.015605608485163236,0.015605608485163236,0.9873216238429446,0.9873216238429446
2025-02-28,-0.0,-0.01752008108508618,0.9873216238429446,0.9700236689361573
2025-03-03,-0.011836788638108442,-0.011836788638108442,0.9756349064636817,0.9585417037929975
2025-03-04,0.010747808210532117,0.010747808210532117,0.9861208433218538,0.9688439261871613
2025-03-05,-0.017751102879487224,-0.017751102879487224,0.9686161107804409,0.9516458779792467
2025-03-06,0.005604862997103277,0.005604862997103277,0.9740450713781522,0.9569797227470784
2025-03-07,-0.026635448353614644,-0.026635448353614644,0.9481009441853665,0.9314901387663922
2025-03-10,-0.008313067974960453,-0.008313067974960453,0.9402193165892294,0.9237465979248218
2025-03-11,0.005306664456809607,0.005306664456809607,0.9452087450181793,0.9286486111631282
2025-03-12,-0.013330638775332249,-0.013330638775332249,0.9326085086710568,0.9162691319784986
2025-03-13,0.020655943292980483,0.020655943292980483,0.9518724171407172,0.9351955352097548
2025-03-14,0.0,0.007711325129997171,0.9518724171407172,0.942407132041879
2025-03-17,-0.0,-0.01080844547504023,0.9518724171407172,0.9322211759399153
2025-03-18,0.0,0.01089078411239508,0.9518724171407172,0.94237379551208
2025-03-19,-0.0,-0.002891583628989891,0.9518724171407172,0.9396488428725882
2025-03-20,0.0,0.0003298107168991926,0.9518724171407172,0.9399587491310896
2025-03-21,0.0,0.01790844377492129,0.9518724171407172,0.956791947540649
2025-03-24,0.0,0.0024037742901859005,0.9518724171407172,0.9590918594252041
2025-03-25,-0.0,-0.011938126986071662,0.9518724171407172,0.9476420990160784
2025-03-26,-0.0,-0.002655751809027329,0.9518724171407172,0.945125396797306
2025-03-27,-0.0,-0.02013839279979468,0.9518724171407172,0.92609209031154
2025-03-28,0.0,0.006712883545730408,0.9518724171407172,0.9323088386664234
2025-03-31,0.0,0.002824468752555598,0.9518724171407172,0.9349421158489681
2025-04-01,0.0,0.00632832407041195,0.9518724171407172,0.9408587325451371
