date,AAPL,AMZN,JPM,MSFT,NVDA,SPY,UNH,XOM
2021-01-04,125.74085235595705,159.3314971923828,109.49156951904295,207.95611572265625,13.060796737670898,343.3192138671875,319.66217041015625,33.46664810180664
2021-01-05,127.29549407958984,160.92550659179688,110.08733367919922,208.15670776367188,13.350875854492188,345.6836853027344,315.3634338378906,35.079490661621094
2021-01-06,123.01051330566406,156.91900634765625,115.2565689086914,202.7593688964844,12.563802719116213,347.7503967285156,328.5980224609375,35.974613189697266
2021-01-07,127.2080307006836,158.10800170898438,119.04151153564452,208.52931213378903,13.29036808013916,352.91705322265625,333.86627197265625,36.256866455078125
2021-01-08,128.3060302734375,159.13499450683594,119.1729507446289,209.79983520507807,13.223388671875,354.92791748046875,332.3663330078125,36.66007232666016
2021-01-11,125.32306671142578,155.7104949951172,120.95149993896484,207.7650909423828,13.566754341125488,352.5353698730469,329.95172119140625,37.77293395996094
2021-01-12,125.1481475830078,156.04150390625,122.85272979736328,205.31951904296875,13.430556297302246,352.6098327636719,326.8602600097656,38.611629486083984
2021-01-13,127.17889404296876,158.29449462890625,122.9666519165039,206.66650390625,13.477365493774414,353.5594482421875,324.7292175292969,39.04709243774414
2021-01-14,125.25502014160156,156.37350463867188,123.68506622314452,203.4949188232422,13.147196769714355,352.3211975097656,320.6042175292969,40.57124328613281
2021-01-15,123.53521728515624,155.21249389648438,121.46842956542967,203.1415100097656,12.807817459106444,349.7519226074219,321.3084716796875,38.61967849731445
2021-01-19,124.20565032958984,156.03799438476562,120.94276428222656,206.7620086669922,12.972901344299316,352.4981689453125,322.1224670410156,39.38579940795898
2021-01-20,128.28652954101562,163.16900634765625,119.1291275024414,214.30877685546875,13.312034606933594,357.3762512207031,320.88775634765625,39.94222640991211
2021-01-21,132.9893341064453,165.34950256347656,118.13034057617188,214.91058349609372,13.811766624450684,357.7020263671875,324.6925354003906,38.79710388183594
2021-01-22,135.126953125,164.6114959716797,117.2191390991211,215.8467559814453,13.657387733459473,356.4359436035156,317.8786315917969,38.24873352050781
2021-01-25,138.86776733398438,164.6999969482422,115.7559814453125,219.2667236328125,13.59837818145752,357.8417358398437,318.1164245605469,37.82133102416992
2021-01-26,139.1010284423828,166.30650329589844,115.28287506103516,221.9415283203125,13.38125228881836,357.2831420898437,313.81768798828125,36.990718841552734
2021-01-27,138.03219604492188,161.62899780273438,112.02361297607422,222.4860382080078,12.865832328796388,348.55096435546875,304.5616455078125,36.57136154174805
