date,AAPL,AMZN,JPM,MSFT,NVDA,SPY,UNH,XOM
2021-01-05,0.012363855457507178,0.010004358381754175,0.005441187506702416,0.0009645883234477015,0.022209909751111923,0.00688709323580583,-0.013447748811659332,0.048192533501058454
2021-01-06,-0.03366168460956409,-0.024896614147709384,0.046955767359718514,-0.02592920941714394,-0.058952921437820716,0.005978620090130393,0.0419661482689524,0.025516976193029173
2021-01-07,0.03412324103216524,0.0075771277744003385,0.032839279034513114,0.02845709803057428,0.05783005171813582,0.014857370524221647,0.016032505224053972,0.007845901327486526
2021-01-08,0.008631527166216957,0.006495514374673217,0.0011041460015821514,0.006092779275432836,-0.005039695504314379,0.005697838173163605,-0.004492633999778839,0.011120814096871934
2021-01-11,-0.023248818123782766,-0.021519462280005563,0.014924101343660734,-0.009698502673780918,0.0259665413889556,-0.006740939468514839,-0.007264910963017068,0.030356231253026555
2021-01-12,-0.0013957456756206188,0.002125797051401035,0.015718944034243787,-0.011770850860081561,-0.010039102971768243,0.0002112210489739752,-0.00936943492968556,0.022203610845058064
2021-01-13,0.016226740061126455,0.014438406874172749,0.0009273063718528984,0.006560432586048215,0.0034852760701782337,0.0026931054958756473,-0.006519735621592804,0.011278025751725984
2021-01-14,-0.015127304855451884,-0.012135545173177387,0.005842350714146738,-0.015346391519965641,-0.024498016634821762,-0.003502241952741403,-0.012702891447172737,0.03903365790471458
2021-01-15,-0.013730410601515808,-0.007424600125642833,-0.017921619201106576,-0.0017366960095134276,-0.025813815412704555,-0.007292422143497457,0.0021966465563612037,-0.048102168697536585
2021-01-19,0.005427060065681832,0.005318518294228358,-0.004327587712163128,0.01782254477212719,0.012889306528607536,0.007851983535693607,0.0025333765931312424,0.019837578676316525
2021-01-20,0.032855825806610506,0.04570048462239673,-0.014995827080262036,0.03649978174003565,0.02614166666605411,0.013838603162070306,-0.003833047426655134,0.014127604626978707
2021-01-21,0.036658599950091464,0.013363421550624865,-0.00838406985100315,0.0028081287638108687,0.03753986766657014,0.000911574692978645,0.011857040281126219,-0.028669471659496626
2021-01-22,0.01607361246612249,-0.00446331304512726,-0.007713526200013199,0.004356102292042863,-0.011177345750826517,-0.0035394900513429084,-0.020985711298201704,-0.014134311751678452
2021-01-25,0.02768370130808706,0.0005376354551673845,-0.01248224193637304,0.015844424604932072,-0.0043207056249405795,0.003944024898599574,0.000748062137927441,-0.011174291460101071
